file,task,url,revision,retrieved
100_doors.sas,100 doors,https://rosettacode.org/wiki/100_doors,410483,2026-09-08T14:04:55Z
archimedean_spiral.sas,Archimedean spiral,https://rosettacode.org/wiki/Archimedean_spiral,403755,2026-09-08T14:04:56Z
bitwise_operations.sas,Bitwise operations,https://rosettacode.org/wiki/Bitwise_operations,406458,2026-09-08T14:04:57Z
comments.sas,Comments,https://rosettacode.org/wiki/Comments,409003,2026-09-08T14:04:58Z
count_the_coins.sas,Count the coins,https://rosettacode.org/wiki/Count_the_coins,406819,2026-09-08T14:04:58Z
csv_data_manipulation.sas,CSV data manipulation,https://rosettacode.org/wiki/CSV_data_manipulation,404580,2026-09-08T14:04:59Z
cumulative_standard_deviation.sas,Cumulative standard deviation,https://rosettacode.org/wiki/Cumulative_standard_deviation,410283,2026-09-08T14:05:00Z
day_of_the_week.sas,Day of the week,https://rosettacode.org/wiki/Day_of_the_week,409981,2026-09-08T14:05:00Z
dijkstra_s_algorithm.sas,Dijkstra's algorithm,https://rosettacode.org/wiki/Dijkstra%27s_algorithm,410289,2026-09-08T14:05:01Z
fibonacci_sequence.sas,Fibonacci sequence,https://rosettacode.org/wiki/Fibonacci_sequence,410577,2026-09-08T14:05:02Z
fivenum.sas,Fivenum,https://rosettacode.org/wiki/Fivenum,407440,2026-09-08T14:05:02Z
fizzbuzz.sas,FizzBuzz,https://rosettacode.org/wiki/FizzBuzz,410510,2026-09-08T14:05:03Z
flow_control_structures.sas,Flow-control structures,https://rosettacode.org/wiki/Flow-control_structures,403690,2026-09-08T14:05:04Z
hailstone_sequence.sas,Hailstone sequence,https://rosettacode.org/wiki/Hailstone_sequence,410468,2026-09-08T14:05:05Z
haversine_formula.sas,Haversine formula,https://rosettacode.org/wiki/Haversine_formula,410517,2026-09-08T14:05:06Z
hello_world_text.sas,Hello world/Text,https://rosettacode.org/wiki/Hello_world/Text,410518,2026-09-08T14:05:07Z
integer_comparison.sas,Integer comparison,https://rosettacode.org/wiki/Integer_comparison,406350,2026-09-08T14:05:07Z
knapsack_problem_0_1.sas,Knapsack problem/0-1,https://rosettacode.org/wiki/Knapsack_problem/0-1,410342,2026-09-08T14:05:08Z
